round,unit_id,before,text,after,NR,JF,WvA,agreement,gold_topic,gold_stance,Uitleg,Discussion
1,65eeaddaf293fed4091bad07fef879920b7f21b94a90c13a9a9adf7f-7-VVD,"Daarmee komt de 'inkomensverbetering' volgens het ministerie uit op gemiddeld 11,5 procent.","""De zekerheid die de politie de samenleving biedt, moeten wij ook aan politiemensen bieden"", aldus justitieminister Dilan **Yesilgöz**.","""Dit is belangrijk in een tijd waarin er veel van de politie wordt gevraagd terwijl het uitbreiden van het aantal agenten nog steeds gaande is.",Criminaliteits bestrijding : Voor,Werkgelegenheid : Voor,Criminaliteits bestrijding : Voor,1,Criminaliteits bestrijding,Voor,Meer geld voor politie is meer blauw op straat,
1,4f8175b1bf7eab73a40501f4842ccc468e1c99ec8c295f4eedbc2b7d-3-Overig,"Dat de krimp van Schiphol tóch wordt opgeschort is „een klap in het gezicht van omwonenden”, zegt wethouder Ferry Hoekstra van de gemeente Uithoorn.,Tot grote teleurstelling van omwonenden schort het kabinet de krimp van Schiphol op.","Dinsdag werd bekend dat demissionair **minister** Mark Harbers (Infrastructuur en Waterstaat, VVD) zwicht voor druk uit Washington en Brussel.",De VS dreigen met tegenmaatregelen als de krimp doorgaat.,Investeren in wegen en ov : Voor,Europese Unie : Voor,Investeren in wegen en ov : Voor,1,Investeren in wegen en ov,Voor,Meer schiphol,
1,84fb451e0ec9a82ca8cd6c3de8b616d841e3d07712e84e650cb65463-2-D66,Zoals vaker in campagnetijd storten partijen zich gretig op de medisch-ethische kwesties.,"Na **D66**, dat vorige week de nieuwe Voltooid Leven-wet presenteerde, onderneemt nu GroenLinks-PvdA een nieuwe poging om abortus uit het Wetboek van Strafrecht te halen.","Abortus is medische zorg en géén misdaad, vindt Tweede Kamerlid Corinne Ellemeet.",Burgerrechten : Voor,Gezondh.zorg en welzijn : Voor,Burgerrechten : Voor,1,Burgerrechten,Voor,Voltooid leven is een burgerrecht,
1,19e195530a5566647c50aeae303cf720c1c93909fa886356e974dfcf-4-Overig,Nederland wil niet dat Schiphol krimpt.,Gelukkig hebben we een **minister** die de hertenkampen wil sluiten.,In wat voor land woon ik eigenlijk?,Natuur en Klimaat : Tegen,Natuur en Klimaat : Voor,Natuur en Klimaat : Tegen,1,Natuur en Klimaat,Tegen,"Herten zijn zielig, maar parken zijn groen",
1,8b1bdadbc39c2822591c774dc0c7792d3271c753e53ac04273f622de-11-Overig,In het belang van het onderzoek kan op dit moment geen aanvullende informatie worden gegeven.,Demissionair **minister** Dilan Yesilgöz (Justitie en Veiligheid) wil dat er een onafhankelijk onderzoek komt naar de medewerkers van de NCTV en de politie.,Ze wil bij de betrokken instanties nagaan of alle stappen goed zijn uitgevoerd en of de maatregelen eventueel moeten worden aangescherpt.,Criminaliteits bestrijding : Neutraal,Criminaliteits bestrijding : Voor,Criminaliteits bestrijding : Neutraal,1,Criminaliteits bestrijding,Neutraal,,<< vragen stellen over
1,103296fbf16672835dc05d3d8b5e47371811d85fd117b80503d3d477-18-GL/PvdA,"Amsterdam zag zich eerder deze maand genoodzaakt tot sluiting, omdat nergens in Nederland nog vrije opvangplekken waren waar de zojuist aangekomen vluchtelingen naartoe konden worden gebracht.","Wij functioneren, net als Utrecht, als een soort Ter Apel voor Oekraïners', zegt verantwoordelijk wethouder Rutger Groot Wassink (**GroenLinks**).","Dat ging lang goed, tot er geen opvangplekken meer te verdelen vielen en onze eigen bedden ook uitgeput waren.",Immigratie : Neutraal,Immigratie : Tegen,Immigratie : Neutraal,1,Immigratie,Neutraal,(interpretatie dat GL de opvang sluit gaat te ver?),
1,42d741ee5d63de827ec1eb1df706d798c3614f33609e10ba36a5401d-10-GL/PvdA,Niemand van de aanwezigen leek het hotel echt te willen.,De machteloosheid en frustratie van de politici werd onder meer verwoord door Canan Uyar (**PvdA**):,„Dit plan dateert van voor de hotelstop.,Ander onderwerp : Neutraal,Ander onderwerp : Neutraal,Ondernemers klimaat : Tegen,1,Geen onderwerp,Neutraal,,
1,94715ea24f2cf8f1cd495a51348dd134839fda44a36139a945f9b602-2-Overig,Woningmarkt,**Minister** Hugo de Jonge zoekt met zijn nieuwe huurregels een middenweg.,Met een 'nieuwbouwopslag' wil hij grote vastgoedbeleggers tegemoet komen.,Woningbouw : Voor,Woningbouw : Neutraal,Woningbouw : Neutraal,1,Woningbouw,Neutraal,,
1,6e05209a3d58fba5d2e931737a924f8d51c4e36da91e3fe548a2b9af-2-NSC,Er leven te veel Nederlanders onder het bestaansminimum en werken loont te weinig.,"Hoe willen partijen als **NSC** en SP, die het drama van de toeslagenaffaire blootlegden, de bestaanszekerheid verbeteren én afkomen van die vermaledijde toeslagen?",Het CDA wil belastingen hervormen zodat werken meer loont en multinationals 'evenredig' worden belast.,Sociale zekerheid : Voor,Sociale zekerheid : Neutraal,Sociale zekerheid : Voor,1,Sociale zekerheid,Voor,,
1,2f6b7cbfffada7adf74a67d013316fe1bbcddaa68327da84364f3bb8-2-PVV,",Terecht pleiten",**PVV’er** Fleur Agema en BBB’er Nicki Pouw-Verweij in het artikel Keert het berjaardenhuis terug?,(11/11) voor de terugkeer van bejaardenhuizen.,Gezondh.zorg en welzijn : Voor,Gezondh.zorg en welzijn : Voor,Sociale zekerheid : Voor,1,Sociale zekerheid,Voor,Bejaarden zijn baby's,
1,48063036ec712ddfa3bfb339402e21ff7b2949c982355a8ed0dffbbb-32-Overig,Ook bij mensen die aangesloten waren op een warmtenetwerk ging de energierekening fors omhoog.,**Minister** Jetten voor Klimaat en Energie heeft in de nieuwe Warmtewet laten vastleggen dat toekomstige warmtenetten voor meer dan 50 procent in handen moeten zijn van de overheid.,Gemeenten zijn dan de baas over het warmtenet en niet de commerciële energiebedrijven.,Energie : Voor,Energie : Neutraal,Energie : Voor,1,Energie,Voor,"Warmtenetten moeten betaalbaar zijn, dus voor",
1,4d51073c507cd6ffe8b693c50a1b021c8d01988ec16188ac3fc5a2f6-7-GL/PvdA,Zo wil een flink aantal partijen de grens voor het minimumloon verlagen van 21 naar 18 jaar.,"Dat zijn **GroenLinks-PvdA**, SP, Volt, D66, Partij voor de Dieren en ChristenUnie.",Daar profiteer je alleen van als je jongere bent of een ouder met kinderen in die leeftijdsgroep.,Sociale zekerheid : Voor,Werkgelegenheid : Voor,Werkgelegenheid : Voor,1,Werkgelegenheid,Voor,,
1,2e091f75e2d4c5b95a1f2ad1fa7610a7f4c363b2315e706258bac522-44-SGP,"Ook dat leidt tot spanning.""","Gonda van den Heuvel (36), voorzitter van **SGP-vrouwennetwerk** Sapientia, beleidsmedewerker bij de Eurofractie van de **SGP**.",Ook bij deze verkiezingen kunnen kiezers niet stemmen op een vrouw van de SGP; op die lijst staan alleen mannen.,Burgerrechten : Tegen,Burgerrechten : Tegen,Geen onderwerp : Neutraal,1,Geen onderwerp,Neutraal,Zin bevat geen stelling,
1,1bcec6f975c40a53a6a8bbebe0e157837fc0954a1586d03f322c808b-7-CDA,Het verplichte ecologisch onderzoek dat hieraan voorafgaat is drie keer duurder dan het isoleren zelf waardoor Hagenaars afhaken.,"„Daarom is snel een plan op wijkniveau nodig voor het beschermen van dieren zoals de vleermuis, zodat individuele bewoners niet met dit geneuzel zitten”, stelt **CDA-raadslid** Hinke de Groot.","De aanwezigheid van één dwergvleermuis in een wooncomplex aan de Aaltje Noorderwierstraat zorgt ervoor dat renovatie uitblijft, gaf raadslid Carlos Martinez-Van Andel (Hart voor Den Haag) als voorbeeld tijdens een debat donderdag over dit onderwerp.",Natuur en Klimaat : Voor,Natuur en Klimaat : Neutraal,Natuur en Klimaat : Voor,1,Natuur en Klimaat,Voor,Dieren moeten worden beschermd,
1,3ed1cc88047ebd54890a4720f325f180095cc9727f1b17b85d056e6e-18-BBB,In de wandelgangen klonk een alternatieve uitleg: de verkiezingscampagne.,Wellicht dat **BBB** en VVD op een later moment minder moeite zouden hebben met de turbines.,Maar die partijen zagen uitstel niet zitten.,Natuur en Klimaat : Neutraal,Energie : Tegen,Energie : Tegen,1,Energie,Tegen,,
1,3cf40e05aae73a8bca5dd15f91bc3d2837726aafb1b96288f7042eb8-1-NSC,NA,FORMATIE **NSC** wil premier worden met apolitieke ministers die op inhoud deskundig zijn,Pieter Omtzigt wil ineens tóch premier worden.,Beter Bestuur : Voor,Beter Bestuur : Voor,Geen onderwerp : Neutraal,1,Beter Bestuur,Voor,"Voor zakenkabinet, en dat is een hervorming",
1,142dd9f8080e28d4b3f887e2e2b062f8a688ea1344260ec223ccb899-162-PVV,"Ja, vanaf je 16de moet je kunnen stemmen.",Natuurlijk zijn er jongens die roepen dat ze op een partij als de **PVV** zouden stemmen.,"Maar in het stemhokje doen ze dat niet echt, denk ik.",Geen onderwerp : Neutraal,Ander onderwerp : Voor,Geen onderwerp : Neutraal,1,Geen onderwerp,Neutraal,,
1,17c0faccdb877c2d0e6cc8b62176221f73372ea6cd1ff380f59f5a52-6-PVV,"Amsterdam Partijen van links tot rechts vinden dat er meer moet worden gebouwd, maar lijsttrekkers verschillen behoorlijk over de manier waarop en vooral voor wie.",Tijdens het RTL-debat botsten **PVV-leider** **Wilders** en D66-voorman Jetten over de huisvesting van asielzoekers met verblijfsstatus.,"„Er is een belangrijke reden waarom je statushouders een huis geeft, we willen dat ze meedoen”, zei Jetten over huisvesten met voorrang.",Immigratie : Tegen,Immigratie : Neutraal,Immigratie : Tegen,1,Immigratie,Tegen,Context maakt duidelijk dat PVV tegen is,
1,767cea36c4ef163e582dc0b10d20151c9f35e2c107ac63a481305451-31-VVD,Het is wat dat betreft hoopvol dat over energie-coöperaties in meerdere verkiezingsprogramma’s ideeën staan.,De **VVD** wil „wet- en regelgeving aanpassen” zodat het makkelijker wordt om een coöperatie op te richten.,Partijen van BBB tot NSC tot Volt willen meer ruimte voor gemeenschapsinitiatieven.,Ondernemers klimaat : Voor,Energie : Voor,Energie : Voor,1,Energie,Voor,,
1,659521a38b416a08cfb7723e7e8cb2d02075023790fa07cc5193a6c3-5-VVD,Daarop kwam nooit een antwoord.,Nu wil ook de **VVD** meer naar de mensen luisteren.,Maar deed Mark Rutte dat ook al niet jarenlang?,Beter Bestuur : Voor,Beter Bestuur : Voor,Geen onderwerp : Neutraal,1,Geen onderwerp,Neutraal,"Het is geen beleid, gewoon hoopla",
1,ae965711895cf8c61254eb2e4f98f5f8dacc4dece4364f575b5b4037-2-NSC,Kamerverkiezingen 2023,"Het hanteren van een migratiesaldo van maximaal 50 duizend, zoals Pieter **Omtzigt** doet in het partijprogramma van Nieuw Sociaal **Contract** (**NSC**), 'is in strijd met internationale wet- en regelgeving'.",Dat schrijft een commissie van de Nederlandse Orde van Advocaten (NOvA) in een vergelijkend onderzoek naar de rechtsstatelijkheid van achttien verkiezingsprogramma's.,Immigratie : Tegen,Immigratie : Voor,Immigratie : Tegen,1,Immigratie,Tegen,Omzigt wil beperken,
1,ac77c4cee6a1774f98fb98f74e80be06ab7c1b9ed31949986e81b995-4-VVD,foto de telegraaf,**VVD**:,straatvervuilers harder aanpakken,Criminaliteits bestrijding : Voor,Natuur en Klimaat : Voor,Criminaliteits bestrijding : Voor,1,Criminaliteits bestrijding,Voor,Straatvervuilers zijn boeven,
1,25f946f1c013e55ebdeadea1228648f579415e0df51e0d86a4385c3c-5-BBB,Dat zei ze woensdag.,**BBB** en VVD dreigen die op het provinciehuis te blokkeren.,"„Dat betekent dat als Amsterdam die drie windmolens niet mag plaatsen, andere gemeenten aan de beurt zijn om die drie windmolens te plaatsen”, zei Pels, die zich wel voorbereidt op dat scenario.",Energie : Tegen,Energie : Voor,Energie : Tegen,1,Energie,Tegen,BBB wil blokkeren dat windmolens geplaatst worden,
1,7444c4fbb557ff80e011d742f2d4aa8d08b0c0a6d2e5958a65b43b64-15-SP,Maar het enthousiasme van de opstellers van de vergelijkingen is omgekeerd evenredig aan dat van de politieke partijen.,"Als het om Keuzes in Kaart (KiK) gaat zijn er afhakers (de **SP** doet niet meer mee), en nieuwkomers die er (nu nog) geen zin in hebben (BBB, NSC).","Gelukkig zijn er ook politieke partijen die na hun eerste zittingsperiode in de Kamer deze keer wél meedoen (JA21, Volt).",Geen onderwerp : Neutraal,Ander onderwerp : Tegen,Geen onderwerp : Neutraal,1,Geen onderwerp,Neutraal,,
1,463b4fb1dc9b2e28ac2ab9ba5bb69466bb4dd0c8ca6ed6f1f322a9e6-2-Overig,Stikstof,De **lijsttrekker** van GroenLinks-PvdA wil zich niet meer binden aan een jaartal om stikstof te halveren.,"Het ligt gevoelig bij de achterban, maar met stikstofdoelen win je geen stemmen.,Bij elk crisismoment over stikstof kon VVD-minister Christianne van der Wal steeds op bijval rekenen van de linkse oppositie, met name GroenLinks en PvdA.",Boeren : Neutraal,Boeren : Neutraal,Boeren : Voor,1,Boeren,Voor,"Afzien van krimp, afzien van plan om te halveren etc is uiteindelijk steun",
1,98dfb3c3719f1aa9e5cb77e380763ca137ae96bb328b6d8a9f2c6c8d-2-GL/PvdA,Vrees voor stikstofcrisis 2.0 in Nederland,Frans **Timmermans** (**PvdA/GL)** tijdens een campagne-evenement in de Oosterpoort.,Foto ANP/HH,Geen onderwerp : Neutraal,Boeren : Neutraal,Boeren : Neutraal,1,Geen onderwerp,Neutraal,Zin geen stelling,
1,ab7603a2fda71c2a5123cdc2e1fe2fe1e8f25d48038c6feaf099b855-1-VVD,NA,Verkiezingsblog **Yesilgöz**: 'Ga kabinet niet in als migratie niet wordt opgelost',NA,Immigratie : Tegen,Immigratie : Neutraal,Immigratie : Tegen,1,Immigratie,Tegen,Migranten oplossen is niet leuk voor migranten,
1,0a809b592403c22dd31bf5e679c38fc9f2c6787753659425c0b4a2e0-62-GL/PvdA,"een fors hoger toptarief kost de schatkist geld in plaats van dat het wat oplevert, en daarmee blijft er dus weinig over om aan inkomensherverdeling te doen.","Oud-staatssecretaris voor Financiën Willem Vermeend (**PvdA**) wist het al: tarieven blaffen wel, maar ze bijten niet.",Zeker in een belastingstelsel waar het stikt van de inkomensafhankelijke aftrekposten.,Overheidsfin. op orde : Neutraal,Sociale zekerheid : Neutraal,Overheidsfin. op orde : Tegen,0,Overheidsfin. op orde,Tegen,PvdA wil belasting niet verhogen,
1,b022aabcb4d7fc840b84b12c030297c4deebb560a435cc227ad3b4ef-4-VVD,ROTTERDAM De Rotterdamse burgemeester Aboutaleb wil de sirenes houden bij een giframp of ander onheilspellend incident.,Dat zei hij donderdag op het stadhuis nadat de **VVD** aankaartte dat de partij zich ernstige zorgen maakt over plannen van het Rijk het luchtalarm af te schaffen.,Het Rijk wil die loeiende alarmering bij een ramp vervangen door smsjes van NL Alert.,Ander onderwerp : Neutraal,Gezondh.zorg en welzijn : Voor,Criminaliteits bestrijding : Voor,0,Criminaliteits bestrijding,Voor,Crimi bevat veiligheid,
1,a235bd8e5162975bb45b80508b68ffb4bfa6560a8f85b4dc4ffb2e42-24-BBB,Ze zijn de kroon op wat ze hier de mienskip noemen: de gemeenschap.,De term duikt zelfs op in het verkiezingsprogramma van de **BBB**.,"Toch staat het evenementenlandschap in de provincie onder druk, blijkt uit een recente inventarisatie in opdracht van Toerisme Alliantie Friesland (TAF).",Gezondh.zorg en welzijn : Neutraal,Ondernemers klimaat : Neutraal,Boeren : Voor,0,Boeren,Voor,Platteland,
1,1ea2a704eb99a0084202640243d5714b1e2786bca89ee6f3a9383c9a-25-Overig,Deze week kondigde de ACM aan dat ze de spaarrentes van de grote banken in Nederland onder de loep zal nemen.,"De mededingingswaakhond stelt een onderzoek in naar mogelijk gebrek aan concurrentie op de spaarmarkt, op verzoek van demissionair **minister** van Financiën Sigrid Kaag (D66).","„Er zijn aanwijzingen dat Nederlandse consumenten slechts in beperkte mate profiteren van de gestegen rente op de Europese markt”, schrijft de toezichthouder.",Ondernemers klimaat : Neutraal,Ander onderwerp : Voor,Ondernemers klimaat : Voor,0,Ondernemers klimaat,Neutraal,,
1,14fe9161f58cdbb5ae553c75935e355af15df2407c86a259ab078bb0-8-CDA,Er werden verkiezingsleuzen ingeleverd.',"De regio heeft het', zo luidde een stelling van het **CDA**.",Van der Heyde:,Geen onderwerp : Neutraal,Ander onderwerp : Voor,Boeren : Voor,0,Boeren,Voor,Platteland,
1,749d7db14bda8c0a099e25ad632e22518486916aa20f7013a9c7217d-53-Overig,"""Uiteindelijk gaat het lukken, al merken we wel dat het langzaam gaat.""",Eind oktober liet **minister** Jetten voor Klimaat en Energie in een Kamerbrief weten een beslissing over een eventueel landelijk verbod aan een volgend kabinet over te laten.,Sociale wetenschappers concludeerden in een advies aan Jetten dat een reclameverbod alleen niet voldoende is om een duurzame transitie te bevorderen en te versnellen.,Energie : Voor,Natuur en Klimaat : Neutraal,Ander onderwerp : Neutraal,0,Geen onderwerp,Neutraal,,
1,3dfd13936e23aeb566780a8a1ae0b274e9eef7f58004b15e011b28fa-2-D66,Voltooid leven,"Deze week heeft **D66** een gewijzigd Wetsvoorstel voltooid leven gepresenteerd, naar aanleiding van kritiek van diverse onderzoekscommissies en de Raad van State.",De timing vlak voor de verkiezingen is niet toevallig.,Burgerrechten : Voor,Gezondh.zorg en welzijn : Neutraal,Burgerrechten : Neutraal,0,Burgerrechten,Voor,Een geijwizgd plan is ook een plan,
1,1853b9b6144334fbfb974e64bcca4831e790f072062163032a7ea055-27-Overig,Dertien jaar later laat de Nederlandse staat hem wederom in de kou staan.,"Noordoven roept demissionair **minister** Franc Weerwind (D66, Rechtsbescherming) op het hoger beroep in zijn aansprakelijkheidsprocedure in te trekken en te schikken.",Zijn verzoek is aan dovemansoren gericht.,Burgerrechten : Tegen,Ander onderwerp : Neutraal,Geen onderwerp : Neutraal,0,Geen onderwerp,Neutraal,,
1,296987338a19863c753fcda65b4369c7e9451f66803f9355d3c7617e-19-GL/PvdA,Het initiatief van de maatregelen komt van raadslid,Jenneke van Pijpen (**GroenLinks**).,"Het idee achter de legalisering was goed, zegt ze, omdat de overheid daardoor beter de markt kan controleren en sturen.",Criminaliteits bestrijding : Tegen,Ander onderwerp : Voor,Geen onderwerp : Neutraal,0,Geen onderwerp,Neutraal,Zin geen stelling,
1,6d29383598097fe8177af16f63262cff6cb0ca0a7fde569572212768-20-VVD,"Politici die ‘grip op migratie’ bepleiten, noemen de aanpak van internationale mensensmokkelbendes vaak in een moeite door.","Demissionair premier Mark Rutte (**VVD**) hoopte met deals, zoals met de Tunesische dictator Kais Saied, „het cynische model van mensensmokkelaars aan te pakken”.","Politici rechtvaardigen een strengere bewaking van de Europese buitengrenzen vaak als een poging om „mensensmokkelaars brodeloos te maken”, die asielzoekers à raison van soms 25.000 euro met wankele bootjes over de Middellandse Zee brengen.",Immigratie : Tegen,Immigratie : Voor,Criminaliteits bestrijding : Voor,0,Mensenrechten,Voor,,
1,f3aac40327bb54110d96a33e0a58f1e3aef8782f56f7200913955ef0-20-Overig,"Het onderzoek van de Rijksrecherche is in volle gang en op verschillende plaatsen zijn doorzoekingen geweest, meldt het OM.",In een brief aan de Tweede Kamer heeft demissionair **minister** Yesilgöz (Justitie en Veiligheid) laten weten dat er een onafhankelijk onderzoek wordt ingesteld naar wat er is gebeurd.,"Ze schrijft dat ze het bericht over de aanhoudingen ""zeer verontrustend"" vindt.",Criminaliteits bestrijding : Neutraal,Criminaliteits bestrijding : Voor,Geen onderwerp : Neutraal,0,Criminaliteits bestrijding,Neutraal,"onderzoek=vragen=neutraal, aanhoudingen=criminaliteit",
1,29c5c3a0f92c2d3db6e8c1dd290800838d056d15934b5bf56e4a5349-33-Overig,Het scheelde een haar of Arjan had hier niet terecht gekund.,"In de zomer besloot demissionair **minister** Franc Weerwind (Rechtsbescherming, D66) de financiering van het Huis van Herstel vanaf 2024 te stoppen:","het aantal deelnemers loopt achter op de beschikbare capaciteit (29 kamers), doorgaan zou te duur zijn.",Criminaliteits bestrijding : Voor,Overheidsfin. op orde : Voor,Geen onderwerp : Neutraal,0,Geen onderwerp,Neutraal,Nier duidelijk wat huis van herstel is,
1,47b3892eeabc65016093f5317ba6e3869060d3f9e0bc66f5f59f0ec6-16-VVD,Zij waren in 2021 goed voor 28 procent van de nieuwe Nederlanders.,"Deze groep betreft niet de directe gezinsleden van asielzoekers, waarop de **VVD** afgelopen zomer het kabinet liet vallen.",Zij vallen namelijk onder het kopje 'asiel'.,Immigratie : Tegen,Immigratie : Voor,Immigratie : Neutraal,0,Immigratie,Neutraal,,
1,aff15e0a740abc5beb3b18e15451e1228ce2ea42d621112833be3209-14-VVD,Het terugdringen van het aantal internationale studenten is desondanks een belangrijk verkiezingsthema voor vrijwel alle politieke partijen.,"Zo pleit de **VVD** ervoor dat onderwijsinstellingen een maximum aantal plekken voor buitenlandse studenten mogen instellen, in lijn met de wetswijziging waar demissionair minister van Onderwijs Robbert Dijkgraaf (D66) momenteel aan werkt.",Dijkgraaf wil daarnaast dat bij Nederlandstalige opleidingen in de toekomst minstens tweederde van de vakken in het Nederlands worden gegeven.,Immigratie : Tegen,Immigratie : Voor,Investeren in onderwijs en wetenschap : Voor,0,Immigratie,Tegen,,
1,845757bdb72595afff63a80b416a2a30e30dee650131e84fd1c99821-10-Overig,Agenten krijgen er meer loon erbij.,"De politiebonden, **minister** Dilan Yesilgöz-Zegerius van Justitie en Veiligheid en korpschef Henk van Essen hebben vrijdag een onderhandelaarsakkoord over een nieuwe politie-cao bereikt.",Woordvoerder Maarten Brink namens de politiebonden toont zich verheugd:,Criminaliteits bestrijding : Neutraal,Werkgelegenheid : Voor,Criminaliteits bestrijding : Voor,0,Criminaliteits bestrijding,Voor,meer blauw,
1,3d0d582735ea7dff0ff71e99fc85430d10790ac804e9daab6612cbde-5-FvD,"Nee, hij gaat niet in de prullenbak!'","Ralf Dekker, nummer vijf op de kandidatenlijst voor **Forum** voor Democratie, was deze week niet de enige **FvD'er** die de achterban via sociale media opriep om de zojuist bezorgde stempas niet weg te gooien.",Ook senator Johan Dessing mengde zich in de lobby om de pas 'heel goed' te bewaren.,Ander onderwerp : Neutraal,Europese Unie : Voor,Geen onderwerp : Neutraal,0,Geen onderwerp,Neutraal,,
1,927b5ba8764ce5a228a44df1bae06501900250365fa1de789142d5da-13-GL/PvdA,"Ik vind het heel belangrijk dat alles gezegd kan worden binnen de grenzen van de wet.""",Onder anderen **oud-PvdA-leider** Lodewijk Asscher en demissionair minister Hugo de Jonge (Binnenlandse Zaken) veroordeelden de spotprent.,Asscher schrijft vrijdag in een column in hoe antisemitisme een rol in zijn leven heeft gespeeld en hoe hij heeft geprobeerd daar niet onder gebukt te gaan.,Burgerrechten : Neutraal,Burgerrechten : Voor,Burgerrechten : Tegen,0,Burgerrechten,Voor,,
1,68640382cd0250eb6a2ae0a9e9298deaca52beb3f3b52b3b867c6e4e-13-GL/PvdA,De zorgen om rouwende werknemers maken dat de roep om een wettelijk geregeld rouwverlof de laatste weken steeds luider klinkt.,In de verkiezingsprogramma's van onder meer **GroenLinks-PvdA** en NSC is een vorm van wettelijk rouwverlof opgenomen.,Ook vakbond CNV moedigde het kabinet onlangs aan zo'n vorm van verlof door te voeren.,Gezondh.zorg en welzijn : Voor,Werkgelegenheid : Voor,Sociale zekerheid : Voor,0,Sociale zekerheid,Voor,rouwverlof is een soort ziekteverlof/pensoenetc,
1,66a6c0ae19248e813002033e1916adeecd125195cd4e4b4ddbe57fb3-4-CDA,Na de verkiezingen staat de bespreking van ingrijpende voorstellen van het adviescollege op de agenda in de Tweede Kamer.,Het adviescollege onder leiding van oud-politicus Pieter van Geel (**CDA**) heeft vijftig aanbevelingen gedaan die het omroepstelsel flink zouden veranderen.,Het is aan de politiek om te bepalen welke adviezen ze wil overnemen.,Investeren in Cultuur : Voor,Ander onderwerp : Neutraal,Investeren in Cultuur : Neutraal,0,Investeren in Cultuur,Neutraal,Veranderen is niet gericht,
2,9621f674d589cc16fee51efa2ccc2f1c33167eca11a4425f40469073-4-NSC,En altijd is er discussie over de modellen van het planbureau.,Die creëren volgens Pieter **Omtzigt** van **NSC** en Lilian Marijnissen van de SP een 'schijnwerkelijkheid'.,Toch willen BBB en NSC nu alsnog met een 'eigen' doorrekening komen.,Ander/geen onderwerp : Neutraal,Ander/geen onderwerp : Neutraal,Ander/geen onderwerp : Neutraal,3,Ander/geen onderwerp : Neutraal,,,
2,1be39892a47fe8b7f423927cb5e772adeef36b527dd3dc8026b3df73-40-GL/PvdA,Later rekruteerde hij informanten en agenten in verenigingen en andere groepen die ‘een brug tussen Oost en West wilden slaan’.,„Ze zagen niet in dat ze aan de leiband van Moskou liepen.” **PvdA-voorzitter** Ien van den Heuvel noemde de Muur „historisch juist” en meende dat een linkse dictatuur beter was dan een rechtse.,„Zo diep was het Sovjet-narratief geworteld.”,Ander/geen onderwerp : Neutraal,Ander/geen onderwerp : Neutraal,Ander/geen onderwerp : Neutraal,3,Ander/geen onderwerp : Neutraal,,,
2,05b59579e2b214b3906ef4c2c80ddd1e6673d357fcc1e4e642abece0-5-VVD,In deze herfstige verkiezingstijd waaien de antwoorden op deze vraag in net zoveel richtingen als de bladeren van de bomen.,"Zwaarder straffen, klinkt het vanuit de **VVD**.","Jongeren weerbaar maken en veiligere wijken, aldus GroenLinks-PvdA.",Criminaliteits bestrijding veiligheid : Voor,Criminaliteits bestrijding veiligheid : Voor,Criminaliteits bestrijding veiligheid : Voor,3,Criminaliteits bestrijding veiligheid : Voor,,,
2,5d2e5ed066e8cab52d40ea5f6c1d8b50f0cfd88224f46dc4e2707bd3-4-NSC,Voor de terreuraanval van Hamas op Israël op 7 oktober werd het nieuws gedomineerd door bestaanszekerheid.,"Pieter **Omtzigt** zette de term op de kaart in de Tweede Kamer, maar sinds de val van het kabinet, afgelopen juli, groeide bestaanszekerheid uit tot hét verkiezingsthema van 2023.","De term is hot door de stijgende energieprijzen, dure benzine en hoge inflatie.",Sociale zekerheid : Voor,Sociale zekerheid : Voor,Sociale zekerheid : Voor,3,Sociale zekerheid : Voor,,,
2,f14c501a417952fd7cd989403400f28554d6bda00bf58ac867822798-18-CDA,"""Te lang hebben vervuilers op grote schaal hun gang kunnen gaan.","Dat moet stoppen"", zegt **CDA-Europarlementariër** Toine Manders.",Hij onderhandelde namens het Europees Parlement over de richtlijn.,Natuur en Klimaat : Voor,Natuur en Klimaat : Voor,Natuur en Klimaat : Voor,3,Natuur en Klimaat : Voor,,,
2,18d9818fa4acad195732cd3561c122399b7d005e2ace5f5ee7f98475-29-GL/PvdA,Het gaat om hun brood.”,"„De termijn van zestien weken is gewoon te lang”, zei Mairan Sewtahal (**PvdA**), die ook pleit voor voorschotten.","„Ik moet ook constateren dat we er nog niet zijn, maar er zijn wel stappen gezet”, aldus wethouder Saskia Bruines.",Ander/geen onderwerp : Neutraal,Ander/geen onderwerp : Neutraal,Ander/geen onderwerp : Neutraal,3,Ander/geen onderwerp : Neutraal,,,
2,462cde1608a460becf59016bb33080a6dcee0c51dafa3f567166c44a-4-GL/PvdA,Het gat tussen het Nederlandse minimumloon en het doorsnee (mediaan) inkomen is immers relatief groot - en het is de afgelopen jaren gegroeid.,Tijdens het debat van 5 november botsten Frans **Timmermans** (**GroenLinks-PvdA**) en Pieter Omtzigt (NSC) over het minimumloon.,"Timmermans wil dit verhogen naar 16 euro per uur, ongeveer 60 procent van het doorsnee inkomen.",Werk (gelegenheid) : Voor,Werk (gelegenheid) : Voor,Werk (gelegenheid) : Voor,3,Werk (gelegenheid) : Voor,,,
